sample	path	BTau_norm	TTau_norm	BTau	TTau	totalCounts	name
751_CER.FCC7KUNACXX_L8IACTGAT		1.8300892793391998	291.92397099080966	333	53118	181958336	751_CER.FCC7KUNACXX_L8IACTGAT.snap.bam
11417_CER.FCC7KKVACXX_L8IACTGAT		1.6064276439755445	302.9893130623963	226	42626	140684830	11417_CER.FCC7KKVACXX_L8IACTGAT.snap.bam
14549_CER.FCC7DJAACXX_L5IATCACG		1.4958277068728922	388.5969425727237	188	48840	125682924	14549_CER.FCC7DJAACXX_L5IATCACG.snap.bam
134_CER.FCC7E15ACXX_L8IATTCCT		4.62345187788639	340.3038096856169	573	42175	123933376	134_CER.FCC7E15ACXX_L8IATTCCT.snap.bam
1036_CER.FCC7KUNACXX_L6IGGCTAC		5.767439772623107	392.5708014575036	959	65276	166278286	1036_CER.FCC7KUNACXX_L6IGGCTAC.snap.bam
11319_CER.FCC7DJAACXX_L6IGATCAG		2.2151564591378	285.31817957357214	294	37868	132722002	11319_CER.FCC7DJAACXX_L6IGATCAG.snap.bam
11317_CER.FCC79ETACXX_L7IGTTTCG		2.34995738110382	282.9970734391056	272	32756	115746780	11317_CER.FCC79ETACXX_L7IGTTTCG.snap.bam
1258_CER.FCC7AFDACXX_L6IGGCTAC		3.3539835054164935	332.9484057169381	371	36829	110614736	1258_CER.FCC7AFDACXX_L6IGGCTAC.snap.bam
6925_CER.FCC7E15ACXX_L2IGATCAG		3.087787130640246	280.2406556081694	322	29224	104281800	6925_CER.FCC7E15ACXX_L2IGATCAG.snap.bam
6894_CER.FCC7LB6ACXX_L7IGTGGCC		2.653382975897976	363.47409999808355	337	46164	127007674	6894_CER.FCC7LB6ACXX_L7IGTGGCC.snap.bam
11265_CER.FCC7KRCACXX_L8IACTGAT		2.183654946186771	215.0096322627275	326	32099	149290986	11265_CER.FCC7KRCACXX_L8IACTGAT.snap.bam
11264_CER.FCC7AFDACXX_L3IGTTTCG		1.0260067880609098	281.1258599286893	114	31236	111110376	11264_CER.FCC7AFDACXX_L3IGTTTCG.snap.bam
11349_CER.FCC7KUNACXX_L3IGTTTCG		2.2578481103466608	401.370594143588	326	57952	144385266	11349_CER.FCC7KUNACXX_L3IGTTTCG.snap.bam
1129_CER.FCC7L2YACXX_L8IGGCTAC		3.071660471158746	288.4162345450672	557	52300	181335146	1129_CER.FCC7L2YACXX_L8IGGCTAC.snap.bam
1963_CER.FCC7KRCACXX_L7IGTGGCC		1.5371404280120382	379.7283396008583	225	55583	146375696	1963_CER.FCC7KRCACXX_L7IGTGGCC.snap.bam
1931_CER.FCC7KRCACXX_L5ITTAGGC		0.9883489442410607	196.0455254669788	129	25588	130520704	1931_CER.FCC7KRCACXX_L5ITTAGGC.snap.bam
731_CER.FCC79ETACXX_L7ICGTACG		0.8423567836719923	352.49591964979214	97	40591	115153106	731_CER.FCC79ETACXX_L7ICGTACG.snap.bam
11312_CER.FCC7E15ACXX_L3IGTGGCC		2.900832065744101	300.39231745420835	390	40386	134444184	11312_CER.FCC7E15ACXX_L3IGTGGCC.snap.bam
1010_CER.FCC7DJAACXX_L5ITTAGGC		1.542147754143434	278.95231134164857	236	42689	153033326	1010_CER.FCC7DJAACXX_L5ITTAGGC.snap.bam
11458_CER.FCC7KUNACXX_L3IGTGGCC		2.576546816064759	295.2722651210214	345	39537	133900148	11458_CER.FCC7KUNACXX_L3IGTGGCC.snap.bam
11275_CER.FCC7BR1ACXX_L6ITAGCTT		1.4730672442175397	341.31212203312253	181	41938	122872870	11275_CER.FCC7BR1ACXX_L6ITAGCTT.snap.bam
1958_CER.FCC7KRCACXX_L3IGTGGCC		0.7523061391529454	289.49772811659085	102	39251	135583102	1958_CER.FCC7KRCACXX_L3IGTGGCC.snap.bam
11388_CER.FCC7AFDACXX_L8IGAGTGG		1.2556315897474413	307.33429676112377	153	37449	121851028	11388_CER.FCC7AFDACXX_L8IGAGTGG.snap.bam
11412_CER.FCC7DRJACXX_L3IGTGGCC		2.2163870543516797	266.90294809446283	284	34200	128136464	11412_CER.FCC7DRJACXX_L3IGTGGCC.snap.bam
1938_CER.FCC7KRCACXX_L2ITAGCTT		0.9343214394697358	170.52977169356248	116	21172	124154274	1938_CER.FCC7KRCACXX_L2ITAGCTT.snap.bam
1119_CER.FCC79ETACXX_L4IGAGTGG		1.2365044446885785	220.96753580633944	118	21087	95430308	1119_CER.FCC79ETACXX_L4IGAGTGG.snap.bam
1015_CER.FCC7983ACXX_L5IACTTGA		1.7603844948659846	352.2184374250454	199	39816	113043486	1015_CER.FCC7983ACXX_L5IACTTGA.snap.bam
716_CER.FCC7983ACXX_L7ICGTACG		0.6056315201351156	323.71431252292444	71	37950	117233000	716_CER.FCC7983ACXX_L7ICGTACG.snap.bam
1058_CER.FCC7L0WACXX_L4IATTCCT		2.554285568975246	294.6084594305283	540	62283	211409408	1058_CER.FCC7L0WACXX_L4IATTCCT.snap.bam
937_CER.FCC7DJAACXX_L7ICGTACG		4.162169019437163	331.7269484709486	601	47900	144395866	937_CER.FCC7DJAACXX_L7ICGTACG.snap.bam
11464_CER.FCC7KUNACXX_L5ITTAGGC		1.024275894232785	304.6497426660168	177	52645	172805004	11464_CER.FCC7KUNACXX_L5ITTAGGC.snap.bam
11290_CER.FCC7LB6ACXX_L5IATCACG		1.5577362960664953	291.7127287354337	161	30150	103355106	11290_CER.FCC7LB6ACXX_L5IATCACG.snap.bam
11497_CER.FCC7L0WACXX_L1IATCACG		3.9875883545277673	375.9685617966501	562	52988	140937316	11497_CER.FCC7L0WACXX_L1IATCACG.snap.bam
6880_CER.FCC7L0WACXX_L4IACTGAT		1.7802673814927163	330.91089610344187	301	55949	169075726	6880_CER.FCC7L0WACXX_L4IACTGAT.snap.bam
816_CER.FCC7L0WACXX_L7IGTGGCC		2.3543620118773685	310.2583433674	364	47968	154606640	816_CER.FCC7L0WACXX_L7IGTGGCC.snap.bam
11491_CER.FCC7KKVACXX_L2ITAGCTT		5.066297763717048	367.15682938213087	795	57614	156919320	11491_CER.FCC7KKVACXX_L2ITAGCTT.snap.bam
11448_CER.FCC7AFDACXX_L1ITTAGGC		1.760185128255105	340.90951867685385	202	39123	114760656	11448_CER.FCC7AFDACXX_L1ITTAGGC.snap.bam
