sample	path	BTau_norm	TTau_norm	BTau	TTau	totalCounts	name
11298_TCX		0.3942115628507069	445.1036293662695	61	68875	154739246	11298_TCX.snap.bam
11398_TCX		0.6008508256683055	162.79138783269764	92	24926	153116208	11398_TCX.snap.bam
11395_TCX		0.34147450283873443	336.3334144904402	36	35458	105425148	11395_TCX.snap.bam
11495_TCX		0.5133479650790035	505.2431066185796	85	83658	165579696	11495_TCX.snap.bam
1036_TCX		0.5065845269468169	413.11601082275996	69	56269	136206292	1036_TCX.snap.bam
751_TCX		0.2548919838122791	358.2048026910721	25	35133	98080762	751_TCX.snap.bam
11264_TCX		0.35752793033020064	292.2989457077352	36	29432	100691434	11264_TCX.snap.bam
11349_TCX		0.4303807341206197	406.89424263003735	49	46326	113852680	11349_TCX.snap.bam
11412_TCX		0.6474170142611488	438.96265861560215	93	63056	143647754	11412_TCX.snap.bam
1123_TCX		0.4986429363232001	235.11707007272668	72	33949	144391898	1123_TCX.snap.bam
1129_TCX		0.6800520518641017	328.69465861786523	80	38667	117638054	1129_TCX.snap.bam
11291_TCX		0.3464069473196694	380.19014288695985	61	66949	176093466	11291_TCX.snap.bam
11357_TCX		0.3607202384944202	295.1240472986414	46	37635	127522648	11357_TCX.snap.bam
736_TCX		0.46143960424667835	359.8785221196931	52	40555	112690804	736_TCX.snap.bam
11327_TCX		0.3682950674502492	149.77332742976802	48	19520	130330282	11327_TCX.snap.bam
11341_TCX		0.5731876617136179	288.55120574415014	94	47321	163995156	11341_TCX.snap.bam
11391_TCX		0.3910545198528324	400.4118958635966	42	43005	107401904	11391_TCX.snap.bam
11440_TCX		0.4359490126670988	432.240287008612	69	68413	158275390	11440_TCX.snap.bam
142_TCX		0.5127996556806712	336.05203685785983	64	41941	124805076	142_TCX.snap.bam
11464_TCX		0.3269015810486	405.4082530511946	39	48366	119301962	11464_TCX.snap.bam
11483_TCX		0.5718454652193442	353.77557893973085	93	57535	162631350	11483_TCX.snap.bam
127_TCX		0.27682752018461076	226.05199503074957	31	25314	111983086	127_TCX.snap.bam
1121_TCX		0.7012234982658918	333.14251873239687	80	38007	114086308	1121_TCX.snap.bam
11447_TCX		0.4101641745000277	316.309496614988	45	34703	109712166	11447_TCX.snap.bam
11266_TCX		0.44938742727936337	415.05592363683246	53	48951	117938324	11266_TCX.snap.bam
11300_TCX		0.5068265053300495	360.36209239808727	60	42661	118383706	11300_TCX.snap.bam
775_TCX		0.20106959519535794	515.9994184336146	22	56458	109414852	775_TCX.snap.bam
11288_TCX		0.42510009493429785	314.1489701564461	54	39906	127028906	11288_TCX.snap.bam
11394_TCX		0.20306100246952638	404.53136041970816	24	47812	118191084	11394_TCX.snap.bam
11338_TCX		0.3584131929698065	428.813508806698	45	53839	125553414	11338_TCX.snap.bam
11491_TCX		0.3656027573442044	306.4863810588524	46	38562	125819620	11491_TCX.snap.bam
6894_TCX		0.5241295387652571	364.76608061247083	56	38973	106843816	6894_TCX.snap.bam
11438_TCX		0.440864863412791	345.7335736360343	60	47053	136096126	11438_TCX.snap.bam
11443_TCX		0.47066698840206883	216.44092128657536	50	22993	106232222	11443_TCX.snap.bam
11314_TCX		0.47081515945518265	307.70248644919633	38	24835	80711080	11314_TCX.snap.bam
1950_TCX		0.25964901562476134	96.7192583202236	34	12665	130946000	1950_TCX.snap.bam
11408_TCX		0.08703400807447373	87.26609876267231	9	9024	103407854	11408_TCX.snap.bam
11263_TCX		0.7501188204518527	410.4209898378794	92	50337	122647236	11263_TCX.snap.bam
11293_TCX		0.31767536725526924	106.595457102881	31	10402	97583896	11293_TCX.snap.bam
11328_TCX		0.5585881192629223	271.91337071136417	61	29694	109203898	11328_TCX.snap.bam
11400_TCX		0.1873229816555653	426.392063763664	25	56906	133459332	11400_TCX.snap.bam
11276_TCX		0.6934092116324942	314.28772517242805	88	39886	126909188	11276_TCX.snap.bam
11410_TCX		0.6296509293528594	413.72320456654165	74	48623	117525436	11410_TCX.snap.bam
11307_TCX		0.1872573227022857	401.92911744818605	20	42928	106804902	11307_TCX.snap.bam
6870_TCX		0.5388709053316897	357.52801542792537	63	41799	116911118	6870_TCX.snap.bam
11322_TCX		0.4151257408036333	514.2389695607875	53	65654	127672160	11322_TCX.snap.bam
11417_TCX		1.054867646950527	265.18974581073246	106	26648	100486540	11417_TCX.snap.bam
1214_TCX		0.5845547977588845	283.40139576610346	76	36846	130013474	1214_TCX.snap.bam
11494_TCX		0.340148477077901	376.831155978459	51	56500	149934524	11494_TCX.snap.bam
11428_TCX		0.49932706014251077	399.38916515366543	62	49591	124167114	11428_TCX.snap.bam
11285_TCX		0.4244836510121812	275.2823641664108	45	29183	106011150	11285_TCX.snap.bam
1089_TCX		1.0264480669871348	342.99006550772015	105	35086	102294508	1089_TCX.snap.bam
6925_TCX		0.43868703034416656	292.28870242825894	57	37978	129933178	6925_TCX.snap.bam
11386_TCX		0.7457857709664673	288.2787833520284	103	39814	138109366	11386_TCX.snap.bam
135_TCX		0.6071862621560744	325.246397554776	133	71243	219043164	135_TCX.snap.bam
11311_TCX		0.4690854045213013	314.6841394484822	52	34884	110854014	11311_TCX.snap.bam
11355_TCX		0.655133104970109	468.77200079518605	108	77278	164851996	11355_TCX.snap.bam
742_TCX		0.2325322049837271	389.9371300739617	24	40246	103211510	742_TCX.snap.bam
11370_TCX		0.24846760823497482	233.725196813033	27	25398	108666076	11370_TCX.snap.bam
1034_TCX		0.40038533084240274	294.65430701238574	41	30173	102401354	1034_TCX.snap.bam
11492_TCX		0.3478861386467035	402.58516616740957	86	99522	247207320	11492_TCX.snap.bam
11313_TCX		1.4777645976629414	298.769230715737	170	34370	115038620	11313_TCX.snap.bam
6929_TCX		0.5224679028478398	388.4258597727663	63	46837	120581570	6929_TCX.snap.bam
11294_TCX		0.5385197698469899	288.9697084998948	50	26830	92847102	11294_TCX.snap.bam
134_TCX		0.5414368903577728	254.53334956354865	56	26326	103428490	134_TCX.snap.bam
11503_TCX		0.358256726981294	386.99102387770546	34	36727	94904010	11503_TCX.snap.bam
11254_TCX		0.2593728325385738	180.80756645391344	42	29278	161929064	11254_TCX.snap.bam
1925_TCX		0.3647882759466136	213.2448035962204	35	20460	95946066	1925_TCX.snap.bam
11430_TCX		0.3571416666706349	380.2917726537981	39	41528	109200364	11430_TCX.snap.bam
6810_TCX		1.3056901929102187	423.2540180790196	211	68398	161600356	6810_TCX.snap.bam
11265_TCX		0.155836315456025	159.51794840867356	16	16378	102671832	11265_TCX.snap.bam
1239_TCX		0.4415030763846062	241.44920241321344	50	27344	113249494	1239_TCX.snap.bam
11358_TCX		0.6442121912488387	294.08632881149947	93	42455	144362372	11358_TCX.snap.bam
